Company,Industry,Layoff Date,Ticker
Cyren,Security,2023-02-01,
VerticalScope,Media,2023-02-01,Not Found
Appgate,Security,2023-02-01,Not Found
Frequency Therapeutics,Healthcare,2023-02-01,
MariaDB,Data,2023-02-01,
Match Group,Consumer,2023-02-01,MTCH
Rivian,Transportation,2023-02-01,RIVN
PayPal,Finance,2023-01-31,PYPL
NetApp,Data,2023-01-31,NTAP
Workday,HR,2023-01-31,
HubSpot,Marketing,2023-01-31,HUBS
Upstart,Finance,2023-01-31,
Software AG,Data,2023-01-31,Not Found
Wish,Retail,2023-01-31,
Nubank,Finance,2023-01-31,NU
National Instruments,Hardware,2023-01-31,Not Found
OpenText,Data,2023-01-31,TSX
Philips,Healthcare,2023-01-30,PHIA
Arrival,Transportation,2023-01-30,
Groupon,Retail,2023-01-30,
Intel,Hardware,2023-01-30,INTC
Delivery Hero,Food,2023-01-30,DHER
BM Technologies,Finance,2023-01-30,
Quantum SI,Healthcare,2023-01-30,
SoFi,Finance,2023-01-30,SOFI
Synopsys,Other,2023-01-27,SNPS
SAP,Other,2023-01-26,SAP
Confluent,Data,2023-01-26,CFLT
Mode Global,Finance,2023-01-26,
IBM,Hardware,2023-01-25,IBM
Lam Research,Hardware,2023-01-25,LRCX
Guardant Health,Healthcare,2023-01-25,GH
PagSeguro,Finance,2023-01-25,PAGS
Vacasa,Travel,2023-01-24,VCSA
PagerDuty,Product,2023-01-24,PD
Spotify,Media,2023-01-23,Not Found
Innovid,Marketing,2023-01-23,CTV
Yext,Marketing,2023-01-23,Not Found
Google,Consumer,2023-01-20,GOOG
Wayfair,Retail,2023-01-20,W
Capital One,Finance,2023-01-19,COF
Proterra,Transportation,2023-01-19,
WeWork ,Real Estate,2023-01-19,Not Found
CS Disco,Legal,2023-01-19,
Magnite,Marketing,2023-01-19,
Personalis,Healthcare,2023-01-19,
Wallbox,Energy,2023-01-19,WBX
Microsoft,Other,2023-01-18,MSFT
Teladoc Health,Healthcare,2023-01-18,TDOC
Vroom,Transportation,2023-01-18,
8x8,Support,2023-01-18,Not Found
Pagaya,Finance,2023-01-18,
Inspirato,Travel,2023-01-18,
